ID;CODE;ISO_DIG;ISO_LAT3;NAME_RUS;NAME_COU;NAME_COU1;NAME_COU2;NAME_COU3;CB_DATE;CE_DATE
390;117;068;BOB;БОЛИВИАНО;БОЛИВИЯ, МНОГОНАЦИОНАЛЬНОЕ ГОСУДАРСТВО;;;;07.09.2009;31.12.2099
163;163;340;HNL;ЛЕМПИРА;ГОНДУРАС;;;;01.07.1995;31.12.2099
251;251;784;AED;ДИРХАМ;ОБЪЕДИНЕННЫЕ АРАБСКИЕ ЭМИРАТЫ (ОАЭ);;;;01.07.1995;30.06.2001
129;129;136;KYD;ДОЛЛАР КАЙМАНОВЫХ ОСТРОВОВ;КАЙМАН;;;;01.07.1995;31.12.2002
440;316;928;VES;БОЛИВАР СОБЕРАНО;ВЕНЕСУЭЛА (БОЛИВАРИАНСКАЯ РЕСПУБЛИКА);;;;01.01.2022;31.12.2099
442;323;925;SLE;ЛЕОНЕ;СЬЕРРА-ЛЕОНЕ;;;;01.07.2022;31.12.2099
232;232;694;SLL;ЛЕОНЕ;СЬЕРРА-ЛЕОНЕ;;;;01.07.1995;30.06.2022
443;232;694;SLL;ЛЕОНЕ;СЬЕРРА-ЛЕОНЕ;;;;01.07.2022;30.09.2022
420;138;191;HRK;КУНА;ХОРВАТИЯ;;;;07.09.2015;31.12.2022
419;279;978;EUR;ЕВРО;"АВСТРИЯ; АНДОРРА; БЕЛЬГИЯ; ГВАДЕЛУПА; ГЕРМАНИЯ; ГРЕЦИЯ; ИРЛАНДИЯ; ИСПАНИЯ; ИТАЛИЯ; КИПР; ЛАТВИЯ; ЛИТВА; ЛЮКСЕМБУРГ; МАЙОТТА; МАЛЬТА; МАРТИНИКА; МОНАКО; НИДЕРЛАНДЫ; ПАПСКИЙ ПРЕСТОЛ (ГОСУДАРСТВО-ГОРОД ВАТИКАН); ПОРТУГАЛИЯ; РЕЮНЬОН; САН-МАРИНО; СЕН-БАРТ";"ЕЛЕМИ; СЕН-МАРТЕН; СЕНТ-ПЬЕР И МИКЕЛОН; СЛОВАКИЯ; СЛОВЕНИЯ; ФИНЛЯНДИЯ; ФРАНЦИЯ; ФРАНЦУЗСКАЯ ГВИАНА; ФРАНЦУЗСКИЕ ЮЖНЫЕ ТЕРРИТОРИИ; ЧЕРНОГОРИЯ; ЭЛАНДСКИЕ ОСТРОВА; ЭСТОНИЯ";;;01.01.2015;31.12.2022
447;138;191;HRK;КУНА;ХОРВАТИЯ;;;;01.01.2023;31.12.2099
448;279;978;EUR;ЕВРО;"АВСТРИЯ; АНДОРРА; БЕЛЬГИЯ; ГВАДЕЛУПА; ГЕРМАНИЯ; ГРЕЦИЯ; ИРЛАНДИЯ; ИСПАНИЯ; ИТАЛИЯ; КИПР; ЛАТВИЯ; ЛИТВА; ЛЮКСЕМБУРГ; МАЙОТТА; МАЛЬТА; МАРТИНИКА; МОНАКО; НИДЕРЛАНДЫ; ПАПСКИЙ ПРЕСТОЛ (ГОСУДАРСТВО-ГОРОД ВАТИКАН); ПОРТУГАЛИЯ; РЕЮНЬОН; САН-МАРИНО; СЕН-БАРТ";"ЕЛЕМИ; СЕН-МАРТЕН; СЕНТ-ПЬЕР И МИКЕЛОН; СЛОВАКИЯ; СЛОВЕНИЯ; ФИНЛЯНДИЯ; ФРАНЦИЯ; ФРАНЦУЗСКАЯ ГВИАНА; ФРАНЦУЗСКИЕ ЮЖНЫЕ ТЕРРИТОРИИ; ХОРВАТИЯ; ЧЕРНОГОРИЯ; ЭЛАНДСКИЕ ОСТРОВА; ЭСТОНИЯ";;;01.01.2023;31.12.2099
